,0,1,2,3,4,5
65,3671,マザーズ,ソフトマックス(株),Ｗｅｂ型電子カルテを主力とした総合医療情報システムを開発。九州地盤、東日本を重点開拓,11:29,840
66,3672,東証1部,(株)オルトプラス,女性向けやスポーツ関連のアプリゲームを展開。開発は他社協業が軸。開発人材の派遣も,11:29,336
67,3673,東証1部,(株)ブロードリーフ,整備、部品商など自動車アフター市場向け業務アプリで高シェア。部品流通ネットワーク運営,11:30,489
68,3674,マザーズ,(株)オークファン,オークション等の情報分析サービスから出発。商品在庫管理や再流通ＥＣのサービスが成長,11:12,585
69,3675,東証1部,(株)クロス・マーケティンググループ,リサーチからＤＸやデジタルマーケティングへ事業の主軸が移行・拡大。世界市場へ事業展開,11:30,"1,067"
70,3676,東証1部,(株)デジタルハーツホールディングス,据え置き機、モバイル向けゲームソフトの不具合検出（デバッグ）が主力。非ゲーム分野を開拓中,11:30,"2,547"
71,3677,東証1部,(株)システム情報,独立系ＳＩ。国際資格ＰＭＰとＣＭＭＩレベル５のプロジェクト管理に強み。配当性向３５％目安,11:30,879
72,3678,東証1部,(株)メディアドゥ,電子書籍取次で国内首位。コミック軸に独自の配信・ストア運営システムに強み。海外事業育成,11:27,"4,665"
73,3679,東証1部,(株)じげん,求人や不動産情報を一括検索する集約サイト展開。成果報酬型の課金に強み。Ｍ＆Ａ積極的,11:18,311
74,3680,マザーズ,(株)ホットリンク,データ解析でのＳＮＳマーケティング支援が柱。ビッグデータ販売と中国市場向け販促支援も,11:30,863
75,3681,東証1部,(株)ブイキューブ,Ｗｅｂ会議などコミュニケーションサービス提供。遠隔医療やネットでのセミナー開催支援も,11:29,"1,082"
76,3682,東証1部,エンカレッジ・テクノロジ(株),内部統制に役立つシステム証跡管理ソフトと保守サービスが両輪。顧客は金融など大手多い,11:17,625
77,3683,東証1部,(株)サイバーリンクス,食品流通・公共向けシステムをクラウド提供。和歌山地盤に全国展開。ドコモ販売も収益の柱,11:20,"1,097"
78,3686,東証1部,(株)ディー・エル・イー,「秘密結社鷹の爪」等ＩＰ（著作権）ビジネス展開。不適切会計で出直し、朝日放送グループ傘下,11:30,283
79,3687,東証1部,(株)フィックスターズ,ソフトウェアの高速化技術に強み、受託が大半。ＡＩコードレビューソフト育成。配当性向３０％,11:28,906
80,3688,東証1部,(株)ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,ネット広告専業。１９年初サイバー・コミュニケーションズ（ＣＣＩ）と統合、電通グループ傘下に,11:30,"2,134"
81,3690,マザーズ,(株)イルグルム,ネット広告の効果測定サービスをクラウドで提供。ＥＣサイト構築関連も。海外展開を模索,10:26,"1,107"
82,3691,マザーズ,(株)リアルワールド,Ｗｅｂメディア買収と立ち上げで事業拡大中、広告収入が柱。ポイント付与サイトは売却,09:39,968
83,3692,マザーズ,(株)ＦＦＲＩセキュリティ,独立系のサイバーセキュリティ会社。標的型攻撃を防ぐ「ヤライ」など自社開発技術に強み,11:30,"1,413"
84,3694,東証1部,(株)オプティム,スマホなど端末の一括管理サービスをクラウドで提供。遠隔サポートも展開。保有特許豊富,11:30,"1,398"
85,3695,マザーズ,ＧＭＯリサーチ(株),ＧＭＯ傘下、マーケティング調査プラットフォームを提供、アジアに調査回答網の整備で先行,10:51,"2,469"
86,3696,東証1部,(株)セレス,ポイントサイト「モッピー」やアフィリエイト運営、広告が収益源。持分会社に暗号資産交換所,11:30,"2,486"
87,3697,東証1部,(株)ＳＨＩＦＴ,ソフトウェアテスト事業が主力。ソフトウェアの品質保証も行い、関連のコンサルや研修も,11:30,"23,850"
88,3698,マザーズ,(株)ＣＲＩ・ミドルウェア,音声・映像関連の開発用ソフトウェアが主力。海外や動画配信・広告など新分野開拓に注力中,11:30,"1,264"
89,3710,東証JQS,ジョルダン(株),目的地までの経路探索ソフト「乗換案内」の開発販売が主軸。旅行販売や出版事業にも展開,11:10,742
